smoke_dum,neuroticism,conscientiousness,extraversion,smoke_parent,parent_control,maternal_care,taught,male,black,hisp,asian,race_other,prof,home,job_other
0,0.3602999,-2.451764,0.6686472,1,0.4285714,5,1,1,0,0,0,0,0,0,0
0,-0.2238747,-1.803986,1.260275,0,1,5,1,0,0,0,0,0,1,0,0
0,0.6290416,-0.7034209,0.6686472,1,0.5714286,4.25,1,1,0,0,0,0,0,1,0
0,0.1149638,-1.888299,0.3490682,0,0.8571429,4.75,1,1,0,0,0,0,0,0,1
1,0.683376,0.5499773,1.260275,1,1,3.75,1,0,0,0,0,0,0,0,1
0,0.8259399,-0.1920606,0.6679905,0,1,4,1,0,0,0,0,0,1,0,0
0,0.8385177,1.565015,0.9406958,1,0.1428571,4.5,1,0,0,0,0,0,0,0,1
0,-0.3822008,0.2260886,0.3484115,1,0.8571429,4,1,1,0,0,0,0,0,0,1
1,0.8542801,1.146866,1.260275,1,0.8571429,5,1,0,0,0,0,0,1,0,0
0,0.1149638,0.2260886,0.3490682,1,1,4.75,1,1,0,0,0,0,0,0,1
0,0.8542801,1.565015,0.3490682,1,0.5714286,4.5,1,0,0,0,0,0,1,0,0
1,-0.9506131,-0.1920606,0.395942,1,0.8571429,4,1,1,0,0,0,0,0,0,1
0,0.8676965,-0.0890676,1.260275,0,0.2857143,5,1,1,0,0,0,0,0,1,0
0,0.8385177,0.9681265,0.6679905,1,0.7142857,4.25,1,1,0,0,0,0,0,0,1
0,0.3988721,-0.0978001,1.260275,0,0.5714286,4.25,0,0,0,0,0,0,0,0,1
0,0.1567204,-0.788949,0.6224302,1,0.8571429,4.25,0,1,0,0,0,0,0,0,0
0,0.8960367,1.565015,0.6679905,1,0.7142857,4.75,0,1,0,0,0,0,0,0,0
1,-1.302653,-2.357503,0.3021945,1,0.8571429,4.75,1,1,0,0,0,0,0,0,1
0,-0.3664385,0.2260886,0.3490682,1,0.4285714,4.75,1,1,0,0,0,0,0,1,0
0,0.8542801,0.9172375,1.260275,1,0.7142857,5,1,1,0,0,0,0,0,1,0
0,0.683376,0.2260886,0.3490682,1,1,4.25,0,1,0,0,0,0,1,0,0
0,0.1307261,0.9681265,0.3490682,1,1,4.5,1,0,0,0,0,0,1,0,0
0,-1.474084,0.959394,0.076363,0,1,4.75,1,1,0,0,0,0,0,0,1
1,-0.1277835,-0.4129563,0.3952852,1,0.5714286,5,0,1,0,0,0,0,0,0,1
0,-0.3664385,-1.112838,0.3490682,0,0.4285714,4.5,1,1,0,0,0,0,0,0,1
1,0.8542801,-0.5582714,0.6211168,0,0.8571429,4.75,1,1,0,0,0,0,0,0,1
0,0.3433867,-0.0890676,0.9406958,0,0.5714286,3.25,1,0,0,0,0,0,0,0,1
1,-0.3664385,-1.291577,0.0294892,0,1,5,1,1,1,0,0,0,1,0,0
0,-0.3246819,-0.5072168,-0.2894331,0,0.8571429,5,1,0,1,0,0,0,0,0,1
0,0.8542801,0.9681265,0.0294892,0,1,5,1,1,1,0,0,0,1,0,0
0,-0.3664385,0.2260886,-0.2894331,1,1,3.75,1,1,1,0,0,0,1,0,0
0,0.3185433,0.2260886,0.0301459,0,1,5,1,1,1,0,0,0,0,0,1
1,0.0086263,0.5078208,-0.8817173,1,0.7142857,4.5,1,1,1,0,0,0,1,0,0
0,0.3486157,-0.4129563,0.0294892,1,1,4,1,0,1,0,0,0,1,0,0
0,0.2437304,0.6529703,0.0294892,1,0.7142857,4.75,1,0,1,0,0,0,0,1,0
0,0.0086263,-0.788949,0.0294892,0,0.4285714,3.5,1,0,1,0,0,0,0,1,0
0,0.8542801,0.2682451,-0.9279343,0,0.8571429,5,1,1,1,0,0,0,0,1,0
0,-0.3144498,-0.788949,-0.0160711,0,0.8571429,3.5,1,0,1,0,0,0,0,1,0
0,0.3728777,0.2260886,-0.0167278,0,0.7142857,5,1,1,1,0,0,0,0,0,1
1,0.6360891,-0.9851531,-0.562795,0,0.4285714,5,1,1,1,0,0,0,1,0,0
0,-0.3664385,0.2260886,-0.243216,1,0.8571429,4.75,1,1,1,0,0,0,1,0,0
0,0.8417022,0.2260886,-1.520219,1,0.7142857,5,1,0,1,0,0,0,0,0,1
0,0.3249671,-0.3707998,-0.243216,0,1,3.25,1,0,1,0,0,0,0,1,0
0,-0.3664385,-1.112838,0.0294892,1,1,5,1,0,1,0,0,0,0,0,1
0,-0.1797722,-1.112838,0.0294892,0,0.5714286,4.25,1,1,1,0,0,0,0,0,1
0,-0.3144498,-2.451764,-1.74605,0,0.7142857,4.75,1,0,1,0,0,0,0,1,0
0,0.8542801,0.2260886,0.0301459,1,0.4285714,5,1,1,1,0,0,0,0,0,1
0,-1.928584,-1.854875,-1.108862,1,0.7142857,3.5,1,1,1,0,0,0,0,0,1
0,-0.3979631,0.2260886,0.0294892,0,1,4,1,0,1,0,0,0,0,0,0
0,-0.3664385,0.2260886,-0.243216,0,0.8571429,4.75,1,0,1,0,0,0,0,1,0
0,0.4248665,1.283283,-0.5621383,1,1,4.5,0,0,1,0,0,0,1,0,0
0,0.8542801,0.2260886,-0.5621383,1,1,4.5,1,1,1,0,0,0,1,0,0
0,0.4707154,1.565015,-1.566436,1,0.5714286,4.5,0,0,1,0,0,0,0,0,1
0,-0.3664385,-0.788949,-0.8817173,0,0.8571429,5,1,0,1,0,0,0,0,1,0
0,0.3965263,0.6442378,-0.6076986,0,0.5714286,3.75,1,1,1,0,0,0,1,0,0
0,0.8960367,1.565015,-1.201296,1,0.5714286,5,1,0,1,0,0,0,0,0,1
1,0.3602999,-0.788949,-0.3369635,0,1,5,1,0,1,0,0,0,0,0,1
0,-0.3246819,-0.4129563,-0.8810606,1,0.8571429,5,1,0,1,0,0,0,0,0,1
1,0.7928837,0.9681265,-0.9279343,1,1,4.5,1,1,1,0,0,0,0,1,0
0,-0.0141836,-0.3795322,-1.792267,0,0.2857143,4.5,0,1,0,1,0,0,1,0,0
0,0.5376278,-0.0890676,-1.246857,0,0.8571429,4.75,1,1,1,0,0,0,0,0,1
0,0.8385177,0.2260886,-0.6545724,0,0.8571429,3,1,0,1,0,0,0,0,0,1
0,0.8417022,-0.6610988,-1.566436,0,0.8571429,5,0,0,1,0,0,0,1,0,0
0,0.8542801,-1.094158,-0.9285911,1,0.7142857,5,1,0,1,0,0,0,0,0,1
0,-0.483008,-0.0890676,-1.201296,1,0.8571429,4.75,1,0,1,0,0,0,0,0,1
0,-0.3664385,0.2260886,-0.243216,0,0.7142857,5,1,0,1,0,0,0,0,0,1
0,-0.2829252,-0.4216887,0.0294892,0,0.8571429,5,1,0,1,0,0,0,1,0,0
0,0.8542801,-1.112838,0.0294892,0,0.8571429,4.75,0,1,1,0,0,0,0,0,1
0,0.0992015,-0.0556436,-0.6090121,1,0.8571429,4.5,1,0,1,0,0,0,1,0,0
1,0.1251958,0.6442378,-0.0180412,0,1,5,1,1,1,0,0,0,0,0,1
0,-0.5948614,0.2260886,-0.243216,1,1,4.75,1,0,1,0,0,0,0,0,1
0,-0.8437628,-1.112838,-0.0167278,0,0.8571429,4,1,0,1,0,0,0,0,0,1
0,0.1602171,-1.709726,-0.5621383,0,0.7142857,3.75,1,0,1,0,0,0,0,1,0
0,0.8542801,1.565015,0.076363,0,1,4,1,1,1,0,0,0,0,1,0
1,0.8542801,1.283283,-0.9741514,0,0.7142857,4,1,1,1,0,0,0,1,0,0
0,0.597517,0.2260886,-1.155079,1,1,4.75,1,0,1,0,0,0,1,0,0
0,-0.3822008,0.5499773,0.076363,0,1,3.75,1,1,1,0,0,0,1,0,0
0,-0.3404441,0.2260886,-1.839141,0,0.8571429,4.75,1,0,1,0,0,0,0,1,0
0,0.8834589,0.3203491,0.9406958,1,1,4.75,1,1,1,0,0,0,0,0,0
0,0.1546869,0.2260886,0.9413525,0,0.7142857,4.75,1,0,1,0,0,0,1,0,0
0,0.3693811,1.565015,0.3490682,1,0.1428571,5,1,1,1,0,0,0,1,0,0
0,-0.3979631,-1.615465,0.6679905,1,1,4.75,1,0,1,0,0,0,0,0,1
0,-0.3790164,0.5499773,0.9406958,0,0.1428571,5,1,0,1,0,0,0,0,0,1
